number of zones,number of cells,flip type,status,average microseconds,number of samples
8,1000,geograph3d,fail_1,114.457,3951
8,1000,geograph3d,fail_2,nan,0
8,1000,geograph3d,fail_3,153.399,213
8,1000,geograph3d,fail_4,155.943,297
8,1000,geograph3d,fail_5,160.473,419
8,1000,geograph3d,success,211.352,5120
8,1000,bfs,failure,11.6529,1550
8,1000,bfs,success,6.7987,8450
8,3375,geograph3d,fail_1,121.117,13081
8,3375,geograph3d,fail_2,nan,0
8,3375,geograph3d,fail_3,154.026,965
8,3375,geograph3d,fail_4,159.614,797
8,3375,geograph3d,fail_5,164.966,1180
8,3375,geograph3d,success,222.955,17727
8,3375,bfs,failure,37.4714,3494
8,3375,bfs,success,15.0025,30256
8,8000,geograph3d,fail_1,126.873,32533
8,8000,geograph3d,fail_2,nan,0
8,8000,geograph3d,fail_3,160.117,3124
8,8000,geograph3d,fail_4,164.824,1255
8,8000,geograph3d,fail_5,172.952,2138
8,8000,geograph3d,success,233.554,40950
8,8000,bfs,failure,94.7047,7236
8,8000,bfs,success,28.156,72764
8,15625,geograph3d,fail_1,131.846,64349
8,15625,geograph3d,fail_2,nan,0
8,15625,geograph3d,fail_3,160.542,7713
8,15625,geograph3d,fail_4,174.425,2107
8,15625,geograph3d,fail_5,182.335,3061
8,15625,geograph3d,success,245.828,79020
8,15625,bfs,failure,177.266,14151
8,15625,bfs,success,48.9618,142099
8,27000,geograph3d,fail_1,131.815,110751
8,27000,geograph3d,fail_2,nan,0
8,27000,geograph3d,fail_3,163.289,12552
8,27000,geograph3d,fail_4,172.627,3138
8,27000,geograph3d,fail_5,179.227,4135
8,27000,geograph3d,success,244.993,139424
8,27000,bfs,failure,320.809,22963
8,27000,bfs,success,76.0122,247037
8,42875,geograph3d,fail_1,129.279,175834
8,42875,geograph3d,fail_2,nan,0
8,42875,geograph3d,fail_3,159.428,21169
8,42875,geograph3d,fail_4,170.583,4254
8,42875,geograph3d,fail_5,177.363,5996
8,42875,geograph3d,success,242.533,221497
8,42875,bfs,failure,467.97,37294
8,42875,bfs,success,109.025,391456
8,64000,geograph3d,fail_1,130.844,264813
8,64000,geograph3d,fail_2,nan,0
8,64000,geograph3d,fail_3,158.919,37053
8,64000,geograph3d,fail_4,172.806,5517
8,64000,geograph3d,fail_5,179.311,8086
8,64000,geograph3d,success,245.76,324531
8,64000,bfs,failure,738.538,54766
8,64000,bfs,success,156.661,585234
2,1000,geograph3d,fail_1,117.62,3436
2,1000,geograph3d,fail_2,nan,0
2,1000,geograph3d,fail_3,147.626,564
2,1000,geograph3d,fail_4,163.079,89
2,1000,geograph3d,fail_5,nan,0
2,1000,geograph3d,success,223.971,5911
2,1000,bfs,failure,18.0693,822
2,1000,bfs,success,7.21039,9178
2,3375,geograph3d,fail_1,127.247,12283
2,3375,geograph3d,fail_2,nan,0
2,3375,geograph3d,fail_3,156.494,1742
2,3375,geograph3d,fail_4,174.459,185
2,3375,geograph3d,fail_5,nan,0
2,3375,geograph3d,success,240.637,19540
2,3375,bfs,failure,91.5609,2678
2,3375,bfs,success,18.9226,31072
2,8000,geograph3d,fail_1,130.901,29213
2,8000,geograph3d,fail_2,nan,0
2,8000,geograph3d,fail_3,159.559,3942
2,8000,geograph3d,fail_4,178.401,252
2,8000,geograph3d,fail_5,nan,0
2,8000,geograph3d,success,246.786,46593
2,8000,bfs,failure,262.596,6078
2,8000,bfs,success,35.4856,73922
2,15625,geograph3d,fail_1,131.199,59773
2,15625,geograph3d,fail_2,nan,0
2,15625,geograph3d,fail_3,160.224,7527
2,15625,geograph3d,fail_4,179.652,417
2,15625,geograph3d,fail_5,nan,0
2,15625,geograph3d,success,248.832,88533
2,15625,bfs,failure,449.23,12504
2,15625,bfs,success,58.2641,143746
2,27000,geograph3d,fail_1,132.455,105844
2,27000,geograph3d,fail_2,nan,0
2,27000,geograph3d,fail_3,162.342,12555
2,27000,geograph3d,fail_4,183.081,666
2,27000,geograph3d,fail_5,nan,0
2,27000,geograph3d,success,250.823,150935
2,27000,bfs,failure,872.249,22516
2,27000,bfs,success,91.9135,247484
2,42875,geograph3d,fail_1,135.051,169218
2,42875,geograph3d,fail_2,nan,0
2,42875,geograph3d,fail_3,162.984,20311
2,42875,geograph3d,fail_4,185.998,656
2,42875,geograph3d,fail_5,nan,0
2,42875,geograph3d,success,255.659,238565
2,42875,bfs,failure,1291.07,35174
2,42875,bfs,success,136.791,393576
2,64000,geograph3d,fail_1,136.459,255973
2,64000,geograph3d,fail_2,nan,0
2,64000,geograph3d,fail_3,163.699,33928
2,64000,geograph3d,fail_4,186.292,719
2,64000,geograph3d,fail_5,nan,0
2,64000,geograph3d,success,256.599,349380
2,64000,bfs,failure,2045.82,49055
2,64000,bfs,success,196.167,590945
25,1000,geograph3d,fail_1,104.238,4211
25,1000,geograph3d,fail_2,nan,0
25,1000,geograph3d,fail_3,145.562,128
25,1000,geograph3d,fail_4,136.198,197
25,1000,geograph3d,fail_5,145.031,589
25,1000,geograph3d,success,184.068,4875
25,1000,bfs,failure,6.13002,2115
25,1000,bfs,success,5.06772,7885
25,3375,geograph3d,fail_1,111.805,15018
25,3375,geograph3d,fail_2,nan,0
25,3375,geograph3d,fail_3,153.815,960
25,3375,geograph3d,fail_4,147.62,1084
25,3375,geograph3d,fail_5,154.207,1727
25,3375,geograph3d,success,202.146,14961
25,3375,bfs,failure,21.2161,6404
25,3375,bfs,success,13.0771,27346
25,8000,geograph3d,fail_1,113.717,37331
25,8000,geograph3d,fail_2,nan,0
25,8000,geograph3d,fail_3,155.508,3100
25,8000,geograph3d,fail_4,150.615,3489
25,8000,geograph3d,fail_5,158.547,3573
25,8000,geograph3d,success,212.291,32507
25,8000,bfs,failure,46.949,15648
25,8000,bfs,success,24.6407,64352
25,15625,geograph3d,fail_1,118.627,74265
25,15625,geograph3d,fail_2,nan,0
25,15625,geograph3d,fail_3,155.721,9966
25,15625,geograph3d,fail_4,156.348,6801
25,15625,geograph3d,fail_5,163.157,5637
25,15625,geograph3d,success,221.098,59581
25,15625,bfs,failure,83.1858,24891
25,15625,bfs,success,43.1501,131359
25,27000,geograph3d,fail_1,122.21,128905
25,27000,geograph3d,fail_2,nan,0
25,27000,geograph3d,fail_3,157.616,19529
25,27000,geograph3d,fail_4,159.692,10699
25,27000,geograph3d,fail_5,167.692,8340
25,27000,geograph3d,success,229.152,102527
25,27000,bfs,failure,154.685,36799
25,27000,bfs,success,69.1897,233201
25,42875,geograph3d,fail_1,123.574,211044
25,42875,geograph3d,fail_2,nan,0
25,42875,geograph3d,fail_3,158.314,34448
25,42875,geograph3d,fail_4,161.071,17451
25,42875,geograph3d,fail_5,168.118,11321
25,42875,geograph3d,success,234.287,154486
25,42875,bfs,failure,232.912,58770
25,42875,bfs,success,102.58,369980
25,64000,geograph3d,fail_1,125.125,326834
25,64000,geograph3d,fail_2,nan,0
25,64000,geograph3d,fail_3,160.526,55617
25,64000,geograph3d,fail_4,162.654,24353
25,64000,geograph3d,fail_5,170.451,14319
25,64000,geograph3d,success,240.206,218877
25,64000,bfs,failure,353.252,91099
25,64000,bfs,success,149.001,548901
